host_id,host_superhost,host_response_rate,host_cancellation_rate_12m,host_avg_response_time_minutes,host_past_guest_complaints_12m,host_avg_rating
H01157,0,0.684,0.006,117.9,3,5.0
H01158,1,0.952,0.016,136.0,1,4.75
H01159,1,0.859,0.038,91.9,5,5.0
H01160,1,0.833,0.063,42.3,1,4.83
H01161,1,0.672,0.043,47.1,1,4.58
H01162,0,0.901,0.039,12.0,0,4.45
H01163,0,0.911,0.097,42.5,2,4.62
H01164,0,0.751,0.06,92.4,2,4.68
H01165,0,0.811,0.048,121.7,2,4.58
H01166,0,0.853,0.171,95.8,5,4.84
H01167,0,0.674,0.063,207.6,2,4.32
H01168,0,0.762,0.039,37.8,1,4.38
H01169,1,0.804,0.077,77.9,5,4.7
H01170,0,0.846,0.075,29.0,2,4.49
H01171,1,0.705,0.028,59.2,1,4.61
H01172,0,0.655,0.051,12.7,4,4.33
H01173,0,0.778,0.015,169.9,0,4.57
H01174,1,0.9,0.048,23.5,0,4.58
H01175,1,0.946,0.076,52.9,1,4.49
H01176,0,0.83,0.021,59.6,3,4.75
H01177,0,0.843,0.06,66.5,2,4.39
H01178,0,0.814,0.043,69.7,2,5.0
H01179,1,0.679,0.086,188.5,1,4.72
H01180,0,0.811,0.041,112.5,1,4.49
H01181,0,0.591,0.052,73.5,3,3.9
H01182,0,0.59,0.014,446.3,3,5.0
H01183,0,0.788,0.051,137.6,3,4.79
H01184,0,0.738,0.049,88.8,1,4.92
H01185,1,0.844,0.09,442.8,1,4.81
H01186,1,0.735,0.071,92.7,0,4.88
H01187,0,0.721,0.037,65.5,0,4.72
H01188,0,0.843,0.063,106.8,3,4.75
H01189,0,0.897,0.179,36.0,3,4.7
H01190,0,0.694,0.013,11.3,7,4.86
H01191,0,0.618,0.078,19.0,0,4.87
H01192,1,0.833,0.124,144.5,2,4.75
H01193,0,0.876,0.053,26.4,4,4.88
H01194,0,0.964,0.024,134.5,4,4.89
H01195,0,0.928,0.076,115.3,1,4.51
H01196,0,0.84,0.016,154.5,4,4.5
H01197,0,0.937,0.148,126.7,2,4.86
H01198,1,0.941,0.007,58.2,1,4.48
H01199,0,0.685,0.103,467.4,1,4.76
H01200,0,0.806,0.018,58.2,1,4.41
H01201,0,0.964,0.023,67.4,3,4.59
H01202,0,0.853,0.113,61.0,1,4.0
H01203,0,0.792,0.038,27.1,1,4.5
H01204,0,0.935,0.009,61.8,1,4.69
H01205,0,0.606,0.041,223.8,1,4.46
H01206,1,0.825,0.059,43.8,3,4.22
H01207,1,0.828,0.105,215.4,1,4.45
H01208,0,0.889,0.027,173.8,3,4.57
H01209,0,0.819,0.076,242.4,2,4.78
H01210,1,0.8,0.144,179.5,1,4.64
H01211,0,0.802,0.093,94.2,2,4.41
H01212,1,0.73,0.128,41.5,4,4.92
H01213,0,0.578,0.062,37.0,1,5.0
H01214,0,0.829,0.06,99.1,1,4.46
H01215,0,0.766,0.059,81.2,1,5.0
H01216,0,0.62,0.042,182.1,2,4.58
H01217,0,0.845,0.108,193.6,0,4.77
H01218,0,0.776,0.097,207.2,0,4.98
H01219,0,0.776,0.016,82.2,3,4.96
H01220,1,0.771,0.049,184.7,2,4.57
H01221,0,0.721,0.086,93.2,1,4.97
H01222,0,0.638,0.041,66.6,1,4.78
H01223,1,0.844,0.025,192.6,0,4.62
H01224,0,0.856,0.013,189.8,2,4.47
H01225,0,0.866,0.201,29.2,2,4.6
H01226,1,0.852,0.025,178.8,5,4.84
H01227,0,0.8,0.037,41.7,0,4.55
H01228,1,0.602,0.035,129.1,0,4.72
H01229,0,0.697,0.147,93.9,2,4.52
H01230,0,0.632,0.071,106.9,3,4.88
H01231,1,0.888,0.008,106.6,0,4.44
H01232,0,0.739,0.011,165.2,0,5.0
H01233,0,0.938,0.089,95.2,1,4.71
H01234,0,0.926,0.045,182.6,0,4.48
H01235,0,0.73,0.079,150.4,2,4.52
H01236,0,0.767,0.127,229.2,2,4.4
H01237,0,0.888,0.082,109.7,5,4.91
H01238,0,0.732,0.084,32.3,2,4.73
H01239,0,0.941,0.073,133.7,1,4.73
H01240,0,0.907,0.109,50.9,3,4.76
H01241,0,0.917,0.016,15.3,1,4.47
H01242,0,0.818,0.053,97.0,1,4.58
H01243,1,0.597,0.144,329.3,2,4.19
H01244,0,0.688,0.049,91.8,1,5.0
H01245,0,0.835,0.014,168.0,4,4.31
H01246,0,0.968,0.082,90.7,2,4.5
H01247,1,0.783,0.056,232.5,0,4.6
H01248,0,0.707,0.066,266.9,3,4.71
H01249,1,0.92,0.082,101.4,7,4.67
H01250,0,0.649,0.042,198.0,1,4.77
H01251,0,0.92,0.184,22.9,1,5.0
H01252,0,0.677,0.049,66.4,4,4.75
H01253,1,0.878,0.021,162.7,0,4.38
H01254,0,0.736,0.063,59.6,2,5.0
H01255,0,0.897,0.053,93.7,1,5.0
H01256,1,0.903,0.076,28.3,2,4.73
H01257,0,0.966,0.02,309.3,1,4.8
H01258,1,0.834,0.088,216.2,1,4.48
H01259,0,0.868,0.103,51.2,4,4.91
H01260,0,0.762,0.107,32.4,2,4.44
H01261,1,0.867,0.043,162.2,0,4.48
H01262,1,0.805,0.087,58.5,3,4.83
H01263,0,0.776,0.088,68.3,3,4.9
H01264,1,0.831,0.062,48.6,5,4.42
H01265,0,0.76,0.069,122.1,3,4.55
H01266,0,0.853,0.046,101.4,1,4.56
H01267,1,0.892,0.061,78.7,2,4.92
H01268,0,0.827,0.015,216.4,2,4.56
H01269,0,0.845,0.013,95.9,2,4.57
H01270,0,0.67,0.099,84.9,1,4.98
H01271,1,0.903,0.024,101.2,0,4.29
H01272,0,0.816,0.035,99.9,2,4.5
H01273,1,0.784,0.019,146.6,4,4.02
H01274,0,0.713,0.118,104.7,5,4.08
H01275,0,0.924,0.071,25.5,1,4.5
H01276,1,0.879,0.067,41.8,2,4.22
H01277,0,0.716,0.084,98.8,2,4.34
H01278,0,0.922,0.091,14.0,2,4.14
H01279,0,0.631,0.021,66.6,2,4.57
H01280,1,0.54,0.058,137.5,4,4.82
H01281,1,0.507,0.053,133.7,2,4.64
H01282,1,0.85,0.095,134.8,4,4.88
H01283,0,0.942,0.052,210.6,2,4.32
H01284,0,0.863,0.013,105.4,2,5.0
H01285,1,0.754,0.091,70.0,1,4.63
H01286,0,0.789,0.109,51.5,0,4.34
H01287,1,0.817,0.159,82.8,6,4.62
H01288,1,0.789,0.018,199.9,1,4.74
H01289,0,0.946,0.061,79.0,2,4.85
H01290,0,0.922,0.14,96.3,0,4.97
H01291,1,0.698,0.15,297.6,1,4.67
H01292,0,0.719,0.106,73.4,2,4.63
H01293,0,0.807,0.13,104.9,1,4.74
H01294,0,0.659,0.073,42.6,2,4.97
H01295,0,0.941,0.057,39.9,3,4.47
H01296,0,0.814,0.135,63.6,1,4.44
H01297,0,0.966,0.059,251.1,4,4.63
H01298,0,0.484,0.059,157.2,2,4.93
H01299,0,0.87,0.043,113.7,2,4.52
H01300,1,0.875,0.034,76.2,3,4.83
H01301,1,0.82,0.102,9.5,0,4.76
H01302,0,0.949,0.048,30.2,1,4.54
H01303,0,0.76,0.15,64.6,0,4.5
H01304,0,0.785,0.072,201.8,0,4.74
H01305,0,0.63,0.082,36.8,3,4.36
H01306,0,0.791,0.074,124.5,3,4.99
H01307,0,0.91,0.072,149.3,1,5.0
H01308,1,0.736,0.008,120.5,1,4.61
H01309,1,0.793,0.152,431.7,1,5.0
H01310,0,0.724,0.064,88.9,1,4.71
H01311,0,0.986,0.045,54.6,0,4.52
H01312,1,0.811,0.025,57.2,2,4.55
H01313,1,0.863,0.13,350.4,2,4.6
H01314,0,0.733,0.055,31.8,0,4.52
H01315,1,0.839,0.054,167.2,3,4.44
H01316,0,0.87,0.015,55.4,3,4.92
H01317,1,0.882,0.037,73.2,3,4.6
H01318,1,0.94,0.019,31.6,2,4.18
H01319,0,0.803,0.145,171.6,1,5.0
H01320,0,0.903,0.041,2.9,1,4.81
H01321,0,0.797,0.024,246.2,5,4.18
H01322,0,0.823,0.098,17.6,1,4.29
H01323,0,0.866,0.03,38.6,1,4.23
H01324,0,0.891,0.069,45.7,3,4.68
H01325,0,0.8,0.143,188.8,2,4.76
H01326,0,0.788,0.101,223.1,2,4.71
H01327,0,0.749,0.092,193.1,3,4.53
H01328,1,0.81,0.024,67.3,0,4.5
H01329,0,0.801,0.008,342.1,1,4.69
H01330,1,0.863,0.075,149.6,1,4.49
H01331,1,0.88,0.015,137.4,3,4.66
H01332,0,0.832,0.032,190.8,2,4.85
H01333,0,0.912,0.124,76.5,3,4.49
H01334,1,0.91,0.035,177.6,1,4.99
H01335,0,0.88,0.054,119.4,3,4.31
H01336,1,0.856,0.022,260.8,2,4.54
H01337,0,0.762,0.091,23.3,1,4.65
H01338,0,0.564,0.049,77.4,3,4.32
H01339,1,0.909,0.032,24.5,1,4.69
H01340,0,0.841,0.007,309.6,4,4.75
H01341,0,0.882,0.031,160.0,1,4.33
H01342,0,0.816,0.089,144.0,1,4.48
H01343,0,0.766,0.025,127.1,2,4.48
H01344,0,0.565,0.108,141.0,2,4.26
H01345,0,0.738,0.083,106.9,1,4.71
H01346,1,0.912,0.076,297.2,2,4.6
H01347,0,0.751,0.089,229.7,1,4.42
H01348,1,0.488,0.092,50.8,1,4.58
H01349,0,0.94,0.046,88.3,2,4.64
H01350,0,0.646,0.059,11.2,0,4.09
H01351,1,0.792,0.048,174.2,3,4.64
H01352,0,0.703,0.033,120.2,2,4.46
H01353,0,0.64,0.031,44.6,0,4.22
H01354,0,0.745,0.034,82.8,2,4.82
H01355,0,0.637,0.017,55.7,0,4.45
H01356,0,0.809,0.061,140.1,4,5.0
H01357,0,0.717,0.011,46.1,2,4.66
H01358,0,0.694,0.032,117.6,4,4.65
H01359,0,0.732,0.15,87.9,2,4.78
H01360,0,0.778,0.068,74.2,1,5.0
H01361,1,0.9,0.064,189.8,4,4.5
H01362,0,0.817,0.077,115.0,3,4.95
H01363,0,0.929,0.055,18.6,2,4.55
H01364,0,0.731,0.052,86.8,1,4.57
H01365,0,0.764,0.02,345.9,4,4.62
H01366,1,0.767,0.154,27.1,1,4.6
H01367,0,0.765,0.054,77.5,3,4.57
H01368,0,0.626,0.102,156.2,4,4.28
H01369,0,0.91,0.007,96.1,0,4.63
H01370,0,0.877,0.008,68.8,2,4.57
H01371,1,0.857,0.058,118.0,2,4.92
H01372,1,0.746,0.068,158.3,3,4.63
H01373,0,0.856,0.002,58.9,1,4.21
H01374,0,0.863,0.058,82.2,1,4.55
H01375,0,0.841,0.089,58.3,1,4.79
H01376,1,0.769,0.032,206.0,0,4.27
H01377,0,0.752,0.092,24.1,1,4.13
H01378,0,0.781,0.04,67.5,2,4.77
H01379,0,0.916,0.085,64.6,3,4.89
H01380,0,0.791,0.09,100.3,1,4.83
H01381,0,0.863,0.042,106.2,2,4.9
H01382,1,0.883,0.044,29.1,3,4.39
H01383,0,0.716,0.065,141.5,3,4.71
H01384,1,0.735,0.083,82.6,1,4.74
H01385,0,0.769,0.105,155.7,0,4.93
H01386,0,0.917,0.014,102.0,1,4.9
H01387,0,0.824,0.042,47.0,3,4.83
H01388,0,0.757,0.142,65.6,1,4.5
H01389,0,0.705,0.039,74.4,1,4.19
H01390,1,0.95,0.015,243.6,2,4.14
H01391,0,0.926,0.059,19.2,1,4.78
H01392,0,0.681,0.03,54.0,5,4.86
H01393,0,0.73,0.065,82.9,4,4.47
H01394,0,0.776,0.135,142.2,1,4.82
H01395,0,0.926,0.1,169.7,0,4.78
H01396,0,0.82,0.068,106.1,3,4.38
H01397,0,0.853,0.043,103.1,4,4.93
H01398,1,0.969,0.042,30.9,5,4.73
H01399,1,0.767,0.086,133.5,3,4.14
H01400,0,0.689,0.018,85.2,6,4.54
H01401,0,0.708,0.036,143.9,1,4.9
H01402,0,0.807,0.046,276.3,4,4.46
H01403,0,0.847,0.011,108.9,1,4.91
H01404,0,0.742,0.199,219.4,0,4.95
H01405,1,0.739,0.038,114.2,1,4.46
H01406,0,0.641,0.153,171.9,2,4.39
H01407,0,0.864,0.048,71.5,5,4.81
H01408,1,0.862,0.081,37.5,5,4.77
H01409,1,0.821,0.057,75.6,3,4.79
H01410,0,0.89,0.038,121.6,5,4.61
H01411,0,0.802,0.09,214.8,4,5.0
H01412,1,0.611,0.068,105.3,3,4.87
H01413,0,0.749,0.009,88.3,2,4.54
H01414,0,0.673,0.076,73.3,4,4.83
H01415,0,0.898,0.153,347.3,1,4.69
H01416,0,0.816,0.054,368.7,3,4.29
H01417,0,0.775,0.082,143.7,2,4.27
H01418,1,0.92,0.016,110.3,3,4.64
H01419,0,0.823,0.016,145.8,1,4.51
H01420,0,0.811,0.03,42.6,3,4.39
H01421,0,0.544,0.052,116.0,0,4.55
H01422,0,0.811,0.091,194.2,6,4.79
H01423,1,0.865,0.032,80.9,2,4.73
H01424,1,0.839,0.029,107.9,2,4.65
H01425,1,0.918,0.102,127.6,1,4.24
H01426,0,0.915,0.073,192.3,1,4.18
H01427,0,0.778,0.027,233.9,4,4.98
H01428,1,0.753,0.098,331.8,2,4.63
H01429,0,0.904,0.089,151.0,1,4.85
H01430,1,0.517,0.018,103.2,1,4.68
H01431,1,0.776,0.026,25.4,6,4.46
H01432,0,0.752,0.059,24.0,1,4.55
H01433,1,0.896,0.118,84.3,1,4.94
H01434,0,0.872,0.082,154.8,1,4.8
H01435,1,0.784,0.077,137.2,0,4.46
H01436,1,0.46,0.119,103.3,1,4.87
H01437,0,0.834,0.01,111.5,2,4.46
H01438,1,0.873,0.123,49.2,3,4.75
H01439,1,0.783,0.205,125.8,3,4.24
H01440,0,0.836,0.047,52.7,0,4.6
H01441,1,0.667,0.098,44.2,2,4.71
H01442,0,0.916,0.025,128.3,2,4.51
H01443,1,0.904,0.153,215.0,3,4.84
H01444,0,0.803,0.048,145.7,2,4.35
H01445,0,0.928,0.018,139.1,0,4.84
H01446,0,0.854,0.058,41.7,3,4.73
H01447,0,0.803,0.052,184.8,2,4.46
H01448,0,0.88,0.017,26.9,2,4.24
H01449,0,0.89,0.102,28.7,3,5.0
H01450,1,0.807,0.09,102.8,2,4.64
H01451,0,0.821,0.048,75.1,1,4.51
H01452,0,0.808,0.046,38.4,5,4.55
H01453,1,0.82,0.136,171.2,2,4.4
H01454,1,0.697,0.011,159.5,4,4.81
H01455,1,0.761,0.028,54.8,0,4.68
H01456,0,0.875,0.083,47.4,2,4.3
H01457,1,0.873,0.048,79.4,3,4.66
H01458,0,0.873,0.059,25.1,1,4.32
H01459,1,0.866,0.181,54.7,3,4.85
H01460,1,0.888,0.099,85.5,2,4.46
H01461,1,0.696,0.026,31.9,2,4.94
H01462,1,0.725,0.072,24.0,1,5.0
H01463,0,0.821,0.059,39.0,0,4.55
H01464,1,0.879,0.024,36.7,4,4.46
H01465,0,0.715,0.056,48.8,1,4.28
H01466,0,0.759,0.079,160.3,4,4.17
H01467,0,0.398,0.009,67.7,3,4.27
H01468,0,0.869,0.056,53.8,1,4.51
H01469,1,0.826,0.082,91.8,2,4.05
H01470,0,0.663,0.037,114.4,2,4.83
H01471,0,0.758,0.058,127.2,1,4.77
H01472,1,0.746,0.015,99.1,3,4.77
H01473,0,0.763,0.072,114.1,3,4.94
H01474,0,0.925,0.079,36.0,2,4.36
H01475,0,0.73,0.01,18.0,2,4.37
H01476,0,0.837,0.076,43.1,2,4.93
H01477,0,0.918,0.03,200.2,2,4.51
H01478,0,0.932,0.035,139.2,1,4.75
H01479,0,0.783,0.002,62.9,3,4.11
H01480,0,0.81,0.034,6.4,3,4.92
H01481,0,0.874,0.047,213.2,1,4.74
H01482,1,0.72,0.077,93.0,3,4.27
H01483,1,0.718,0.073,286.3,2,5.0
H01484,0,0.784,0.053,159.0,1,4.69
H01485,0,0.867,0.084,117.1,4,5.0
H01486,1,0.854,0.103,36.4,5,4.13
H01487,0,0.642,0.056,38.2,2,4.74
H01488,0,0.894,0.034,56.8,2,4.5
H01489,0,0.9,0.086,126.9,3,4.57
H01490,0,0.83,0.029,89.4,2,4.69
H01491,1,0.702,0.086,251.8,1,4.2
H01492,1,0.744,0.074,86.2,4,5.0
H01493,0,0.731,0.122,145.8,1,5.0
H01494,0,0.783,0.037,35.4,1,4.71
H01495,0,0.709,0.114,285.5,2,4.32
H01496,1,0.804,0.06,38.5,1,4.58
H01497,0,0.874,0.057,85.3,4,4.71
H01498,0,0.929,0.013,207.5,1,4.48
H01499,0,0.722,0.009,69.9,2,4.87
